dataset_name,best_algorithm,best_algorithm_base_display,best_algorithm_superfamily,best_algorithm_category,best_algorithm_display,best_algorithm_variant,best_window_size,best_window_stride,best_threshold_method,best_threshold_value,best_evaluation_mode,best_f1
114_UCR_Anomaly_CIMIS44AirTemperature2_4000_5703_5727,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,24,1,sigma,3.0,range,0.4424778761061947
115_UCR_Anomaly_CIMIS44AirTemperature3_4000_6520_6544,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x4,Context x4,24,1,sigma,3.0,range,0.4166666666666667
116_UCR_Anomaly_CIMIS44AirTemperature4_4000_5549_5597,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,24,1,sigma,3.0,range,0.4659090909090909
117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Global L1,Global L1,24,1,sigma,3.0,range,0.3915343915343915
118_UCR_Anomaly_CIMIS44AirTemperature6_4000_6006_6054,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x4,Context x4,24,1,sigma,3.0,range,0.8828828828828829
119_UCR_Anomaly_ECG1_10000_11800_12100,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Local k10,Local k10,91,1,sigma,3.0,range,0.8296795952782462
120_UCR_Anomaly_ECG2_15000_16000_16100,local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Baseline,Baseline,91,1,sigma,3.0,range,0.5672514619883041
121_UCR_Anomaly_ECG3_15000_16000_16100,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x1,Context x1,166,1,sigma,3.0,range,0.6733333333333333
122_UCR_Anomaly_ECG3_8000_17000_17100,matrix_profile,Matrix Profile,Distance-based,Discord,Matrix Profile | Context x1,Context x1,166,1,sigma,3.0,range,0.7188612099644128
124_UCR_Anomaly_ECG4_5000_16900_17100,ocsvm,OCSVM,Density-based,Distribution,OCSVM | Baseline,Baseline,166,1,sigma,3.0,range,0.7794117647058824
