regime_dimension,regime_value,algorithm_display,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
anomaly_ratio_bucket,sparse,Isolation Forest | Seed 7,29,0.8244485935250487,0.08388519049300588,0.07807927503914225,0.07807927503914225,0.49740656206769673
anomaly_ratio_bucket,sparse,Isolation Forest | Max feat 0.6,29,0.8144610538301954,0.0896781722008872,0.07598938393060999,0.07598938393060999,1.035946224133709
anomaly_ratio_bucket,sparse,OCSVM | Train frac 0.20,29,0.7455599507713402,0.12039379531910362,0.07556404941757049,0.07556404941757049,0.11848739310215901
anomaly_ratio_bucket,sparse,HBOS | Baseline,29,0.7542314354155244,0.06956152081283364,0.0753056538997106,0.0753056538997106,0.23281925516443905
anomaly_ratio_bucket,sparse,HBOS | Tol 0.2,29,0.7542314354155244,0.06956152081283364,0.0753056538997106,0.0753056538997106,0.23046845171785238
anomaly_ratio_bucket,sparse,HBOS | Alpha 0.05,29,0.7495438825343218,0.06594587917618296,0.07075827406766035,0.07075827406766035,0.23347668965941232
anomaly_ratio_bucket,sparse,Isolation Forest | Bootstrap on,29,0.8136160832889779,0.08897197728707726,0.06935071136758801,0.06935071136758801,0.467528527598539
anomaly_ratio_bucket,sparse,Local Outlier Factor | Neighbors 10,29,0.8476778730439465,0.15751724277999865,0.0691338406356913,0.0691338406356913,0.16272025172405974
anomaly_ratio_bucket,sparse,DAMP | Baseline,29,0.8737779588239258,0.08964008482502282,0.06768548115917918,0.06768548115917918,18.46681268965416
anomaly_ratio_bucket,sparse,DAMP | Start x2,29,0.88905378966392,0.08886134282697367,0.06610713240465155,0.06610713240465155,13.865431017246387
anomaly_ratio_bucket,sparse,OCSVM | Baseline,29,0.7580598820003381,0.10463634529355828,0.06282607028792477,0.06282607028792477,0.07378170000196531
anomaly_ratio_bucket,sparse,OCSVM | Nu 0.10,29,0.7560771561362467,0.10268049368169857,0.06101073455964952,0.06101073455964952,0.10156620000810201
anomaly_ratio_bucket,sparse,Isolation Forest | Trees 400,29,0.8113914536318506,0.08215733559245654,0.05969284967366615,0.05969284967366615,0.9781350068956742
anomaly_ratio_bucket,sparse,PCA | Weighted off,29,0.657640268315073,0.04583799973424351,0.05027720153188329,0.05027720153188329,0.05838096206847193
anomaly_ratio_bucket,sparse,PCA | Components 0.95,29,0.648472387877013,0.045858263446190796,0.0499157444267487,0.0499157444267487,0.09309331034631307
anomaly_ratio_bucket,sparse,Isolation Forest | Baseline,29,0.8074029567837087,0.08370638212444506,0.04838383504650482,0.04838383504650482,0.5057764034517559
anomaly_ratio_bucket,sparse,Isolation Forest | Max samples auto,29,0.8074029567837087,0.08370638212444506,0.04838383504650482,0.04838383504650482,0.5081147137880807
anomaly_ratio_bucket,sparse,PCA | Score comps 2,29,0.6591975961570061,0.04510040061936245,0.04510040061936245,0.04510040061936245,0.03410162758242724
anomaly_ratio_bucket,sparse,PCA | Baseline,29,0.6591675647901722,0.04510040061936245,0.04510040061936245,0.04510040061936245,0.06465778620271333
anomaly_ratio_bucket,sparse,PCA | Whiten on,29,0.6591675647901722,0.04510040061936245,0.04510040061936245,0.04510040061936245,0.10317498276307216
anomaly_ratio_bucket,sparse,PCA | Standardize off,29,0.655925480244116,0.04510040061936245,0.04510040061936245,0.04510040061936245,0.0960167034484992
anomaly_ratio_bucket,sparse,OCSVM | Kernel linear,29,0.377657536887948,0.01680622891935164,0.03914632307358025,0.03914632307358025,0.019358686209608126
length_bucket,medium,SAND | Overlap 64,50,0.942076572835317,0.340536217467959,0.3294909444700373,0.3294909444700373,22.56016030999599
length_bucket,medium,SAND | Init 3000,50,0.9412347656430887,0.31784246851589865,0.3207599409146687,0.3207599409146687,12.32474950199714
length_bucket,medium,SAND | Subseq x2,50,0.934379710311307,0.3316424421655099,0.3184355047006363,0.3184355047006363,2.8336824960028753
length_bucket,medium,SAND | Baseline,50,0.9394072849807383,0.3167727361458165,0.3023572732915072,0.3023572732915072,10.889691274001962
