algorithm,algorithm_base_display,algorithm_superfamily,algorithm_category,algorithm_display,algorithm_variant,algorithm_run_id,evaluation_mode,run_count,success_count,mean_roc_auc,median_roc_auc,mean_average_precision,median_average_precision,mean_precision,mean_recall,mean_f1,median_f1,mean_evaluation_precision,mean_evaluation_recall,mean_evaluation_f1,median_evaluation_f1,mean_precision_at_k,mean_range_precision,mean_range_recall,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,mean_runtime_seconds,median_runtime_seconds,success_rate
local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | p = 1,p = 1,local_outlier_factor__tab_06,range,50,50,0.8217941036495625,0.9487046005677535,0.2522301409406163,0.11781088733094897,0.18035892243707732,0.4340832629791078,0.2140324116978278,0.13511095204008589,0.1439395668046001,0.4489993294861157,0.15421384318474407,0.09763557340503302,0.2391060825278904,0.1439395668046001,0.4489993294861157,0.15421384318474407,0.7019605304364177,0.9633187914443099,1.544192382005276,1.63731610000832,1.0
local_outlier_factor,Local Outlier Factor,Distance-based,Proximity,Local Outlier Factor | Neighbors 10,Neighbors 10,local_outlier_factor__tab_02,range,50,50,0.7385795028770462,0.86654800128571,0.2438807800020176,0.10477125028561264,0.13956681488194586,0.41611941469574887,0.1739529365945019,0.11328502415458937,0.08945023181284252,0.43077914682513635,0.11852870105325884,0.05581198442766181,0.22289989190335419,0.08945023181284252,0.43077914682513635,0.11852870105325884,0.6874392125626992,0.9811912864310127,0.17135015400126577,0.1388370499771554,1.0
hbos,HBOS,Density-based,Distribution,HBOS | Bins 20,Bins 20,hbos__tab_02,range,50,50,0.658831091846331,0.75926350193057,0.15111899611802654,0.017627460722575213,0.12852926704511533,0.13258490243653465,0.09870718786092146,0.0,0.13838790967993295,0.1580679219492277,0.11828992566598179,0.0,0.14088645204002004,0.13838790967993295,0.1580679219492277,0.11828992566598179,0.6760857957235065,0.45974194726257195,0.35528365000383927,0.43384995000087656,1.0
hbos,HBOS,Density-based,Distribution,HBOS | Baseline,Baseline,hbos__tab_01,range,50,50,0.654033828248087,0.7706580651278805,0.1404217682938096,0.018025647214176266,0.15039590513748968,0.12226110601447396,0.0957340372313773,0.0,0.14818171587343745,0.14275006128216738,0.11675280698559222,0.0,0.13830673767971585,0.14818171587343745,0.14275006128216738,0.11675280698559222,0.6568641308170835,0.4177250578028612,0.35609350600047035,0.45554949998040684,1.0
hbos,HBOS,Density-based,Distribution,HBOS | Tol 0.2,Tol 0.2,hbos__tab_04,range,50,50,0.654033828248087,0.7706580651278805,0.1404217682938096,0.018025647214176266,0.15039590513748968,0.12226110601447396,0.0957340372313773,0.0,0.14818171587343745,0.14275006128216738,0.11675280698559222,0.0,0.13830673767971585,0.14818171587343745,0.14275006128216738,0.11675280698559222,0.6568641308170835,0.4177250578028612,0.3502791079971939,0.4357564499950968,1.0
hbos,HBOS,Density-based,Distribution,HBOS | Alpha 0.05,Alpha 0.05,hbos__tab_03,range,50,50,0.6496277973523737,0.7758967798820867,0.1359437175289452,0.0165864292057848,0.13850579530629553,0.12248218658636191,0.09315701364125653,0.0,0.13232519643836926,0.14292692573967777,0.11246043434729767,0.0,0.13256751193653088,0.13232519643836926,0.14292692573967777,0.11246043434729767,0.6693667402466912,0.47488615279962554,0.35459048800519666,0.47282860000268556,1.0
pca,PCA,Density-based,Encoding,PCA | Weighted off,Weighted off,pca__tab_05,range,50,50,0.5659162300269389,0.6183298421184764,0.12892832090435485,0.010302270726217718,0.11972763456287314,0.08015792989576374,0.07785066875809998,0.0,0.12165573913803654,0.096126343916611,0.09461700538172227,0.0,0.11449553167472891,0.12165573913803654,0.096126343916611,0.09461700538172227,0.7047261518608691,0.4647689885686141,0.14208132799947634,0.12072199999238364,1.0
pca,PCA,Density-based,Encoding,PCA | Components 0.95,Components 0.95,pca__tab_02,range,50,50,0.5588108127060342,0.6024946711001478,0.12694258706572137,0.009050031171548855,0.1197388604272647,0.07879802703168261,0.07635395728458519,0.0,0.12143351691581432,0.09503842162534609,0.09341803955257878,0.0,0.11468350463486329,0.12143351691581432,0.09503842162534609,0.09341803955257878,0.6947626767502862,0.4532892953119358,0.10451336800237186,0.031376600032672286,1.0
pca,PCA,Density-based,Encoding,PCA | Score comps 2,Score comps 2,pca__tab_03,range,50,50,0.5668502651186196,0.6189797505796568,0.12968361817171203,0.010558253279693017,0.11943351691581432,0.07950182129847867,0.0775169704018644,0.0,0.11943351691581432,0.09160145703878295,0.09168375722772672,0.0,0.1146124907390564,0.11943351691581432,0.09160145703878295,0.09168375722772672,0.7067050500918726,0.464144877219852,0.06056048999656923,0.02655330000561662,1.0
pca,PCA,Density-based,Encoding,PCA | Baseline,Baseline,pca__tab_01,range,50,50,0.5668347356236694,0.6189763568807016,0.12968690104108768,0.010557755749639096,0.11943351691581432,0.07950182129847867,0.0775169704018644,0.0,0.11943351691581432,0.09160145703878295,0.09168375722772672,0.0,0.1146124907390564,0.11943351691581432,0.09160145703878295,0.09168375722772672,0.7058806723223972,0.46414043467110344,0.12348775599850342,0.1043403500225395,1.0
pca,PCA,Density-based,Encoding,PCA | Whiten on,Whiten on,pca__tab_04,range,50,50,0.5668347356236694,0.6189763568807016,0.12968690104108768,0.010557755749639096,0.11943351691581432,0.07950182129847867,0.0775169704018644,0.0,0.11943351691581432,0.09160145703878295,0.09168375722772672,0.0,0.1146124907390564,0.11943351691581432,0.09160145703878295,0.09168375722772672,0.7058806723223972,0.46414043467110344,0.1395639560057316,0.10354770001140423,1.0
pca,PCA,Density-based,Encoding,PCA | Standardize off,Standardize off,pca__tab_06,range,50,50,0.5651828307127884,0.6153838212489439,0.128255515501712,0.010208127780699587,0.11943351691581432,0.07937361617027355,0.07742286127146897,0.0,0.11943351691581432,0.09149889293621884,0.09161446085246018,0.0,0.11170136366214972,0.11943351691581432,0.09149889293621884,0.09161446085246018,0.7057753954882529,0.4641500111604026,0.14253704800386913,0.09302464997745119,1.0
ocsvm,OCSVM,Density-based,Distribution,OCSVM | Kernel linear,Kernel linear,ocsvm__tab_02,range,50,50,0.3632059810646588,0.33787128782170034,0.04969498667324243,0.006841802605726496,0.06602159970691585,0.019113714713815965,0.024009672480282115,0.0,0.07730295089866375,0.06052174100182201,0.05919027546437809,0.0,0.05336389918465955,0.07730295089866375,0.06052174100182201,0.05919027546437809,0.7052195792026473,0.679886358111977,0.023420736000407488,0.025100300001213327,1.0
