-------> THIS IS THE IForest METHOD REPORT <----------

fileName:038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2_5000_27862_27932, AUC:0.43, R_AUC:0.53, Precision:0.04, Recall:0.10, F:0.06, ExistenceReward:1.00, OverlapReward:0.05, AP:0.01, R_AP:0.02, Precisionk:0.10, R_precision:0.02, R_recall:0.24, R_f:0.03, tn_count:29706, fn_count:64, fp_count:173, tp_count:7, elapsed_time:0.714496374130249 seconds
fileName:039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420, AUC:1.00, R_AUC:0.99, Precision:0.13, Recall:0.94, F:0.23, ExistenceReward:1.00, OverlapReward:0.94, AP:0.77, R_AP:0.47, Precisionk:0.94, R_precision:0.01, R_recall:0.95, R_f:0.02, tn_count:29722, fn_count:2, fp_count:197, tp_count:29, elapsed_time:0.7222833633422852 seconds
fileName:040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4_6000_17390_17520, AUC:0.46, R_AUC:0.44, Precision:0.02, Recall:0.03, F:0.02, ExistenceReward:1.00, OverlapReward:0.01, AP:0.01, R_AP:0.01, Precisionk:0.03, R_precision:0.04, R_recall:0.21, R_f:0.07, tn_count:29724, fn_count:127, fp_count:211, tp_count:4, elapsed_time:0.7232975959777832 seconds
fileName:041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520, AUC:0.61, R_AUC:0.64, Precision:0.20, Recall:0.45, F:0.28, ExistenceReward:1.00, OverlapReward:0.45, AP:0.31, R_AP:0.3, Precisionk:0.45, R_precision:0.01, R_recall:0.56, R_f:0.02, tn_count:29461, fn_count:72, fp_count:234, tp_count:59, elapsed_time:0.7302839756011963 seconds
fileName:042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420, AUC:0.11, R_AUC:0.14, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.0, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:29389, fn_count:231, fp_count:239, tp_count:0, elapsed_time:0.7774543762207031 seconds
fileName:043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440, AUC:0.70, R_AUC:0.66, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.01, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:24358, fn_count:161, fp_count:148, tp_count:0, elapsed_time:0.6440150737762451 seconds
fileName:044_UCR_Anomaly_DISTORTEDPowerDemand1_9000_18485_18821, AUC:0.12, R_AUC:0.32, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.01, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:29471, fn_count:337, fp_count:123, tp_count:0, elapsed_time:0.9324367046356201 seconds
fileName:045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717, AUC:0.16, R_AUC:0.19, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.01, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:29283, fn_count:361, fp_count:287, tp_count:0, elapsed_time:1.0001463890075684 seconds
fileName:046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477, AUC:0.26, R_AUC:0.43, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.0, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:29746, fn_count:73, fp_count:112, tp_count:0, elapsed_time:0.9866311550140381 seconds
fileName:047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077, AUC:0.33, R_AUC:0.43, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.0, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:29579, fn_count:73, fp_count:279, tp_count:0, elapsed_time:0.9535529613494873 seconds
