-------> THIS IS THE SAND METHOD REPORT <----------

fileName:036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681, AUC:0.21, R_AUC:0.49, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:7395, fn_count:83, fp_count:23, tp_count:0, elapsed_time:1.4258050918579102 seconds
fileName:037_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG1_5000_17210_17260, AUC:0.82, R_AUC:0.81, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.0, R_AP:0.01, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:29940, fn_count:51, fp_count:10, tp_count:0, elapsed_time:3.749495029449463 seconds
fileName:038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2_5000_27862_27932, AUC:1.00, R_AUC:1.0, Precision:0.26, Recall:0.96, F:0.40, ExistenceReward:1.00, OverlapReward:0.96, AP:0.77, R_AP:0.67, Precisionk:0.96, R_precision:0.06, R_recall:0.97, R_f:0.12, tn_count:29682, fn_count:3, fp_count:197, tp_count:68, elapsed_time:5.7203757762908936 seconds
fileName:039_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG3_5000_16390_16420, AUC:1.00, R_AUC:1.0, Precision:0.16, Recall:1.00, F:0.28, ExistenceReward:1.00, OverlapReward:1.00, AP:0.87, R_AP:0.67, Precisionk:1.00, R_precision:0.05, R_recall:1.00, R_f:0.10, tn_count:29761, fn_count:0, fp_count:158, tp_count:31, elapsed_time:5.9516212940216064 seconds
fileName:040_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG4_6000_17390_17520, AUC:0.97, R_AUC:0.97, Precision:0.16, Recall:0.35, F:0.22, ExistenceReward:1.00, OverlapReward:0.18, AP:0.13, R_AP:0.13, Precisionk:0.35, R_precision:0.13, R_recall:0.34, R_f:0.19, tn_count:29700, fn_count:85, fp_count:235, tp_count:46, elapsed_time:4.995741128921509 seconds
fileName:041_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG5_7000_17390_17520, AUC:0.69, R_AUC:0.74, Precision:0.45, Recall:0.51, F:0.48, ExistenceReward:1.00, OverlapReward:0.51, AP:0.52, R_AP:0.4, Precisionk:0.51, R_precision:0.11, R_recall:0.61, R_f:0.18, tn_count:29614, fn_count:64, fp_count:81, tp_count:67, elapsed_time:6.257707595825195 seconds
fileName:042_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG6_7000_12190_12420, AUC:0.99, R_AUC:0.99, Precision:0.62, Recall:0.89, F:0.73, ExistenceReward:1.00, OverlapReward:0.89, AP:0.72, R_AP:0.54, Precisionk:0.89, R_precision:0.11, R_recall:0.91, R_f:0.20, tn_count:29501, fn_count:26, fp_count:127, tp_count:205, elapsed_time:5.717766046524048 seconds
fileName:043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440, AUC:0.70, R_AUC:0.68, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.01, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:24506, fn_count:161, fp_count:0, tp_count:0, elapsed_time:2.5949454307556152 seconds
fileName:044_UCR_Anomaly_DISTORTEDPowerDemand1_9000_18485_18821, AUC:0.98, R_AUC:0.97, Precision:0.25, Recall:0.40, F:0.31, ExistenceReward:1.00, OverlapReward:0.20, AP:0.22, R_AP:0.21, Precisionk:0.40, R_precision:0.29, R_recall:0.36, R_f:0.32, tn_count:29182, fn_count:202, fp_count:412, tp_count:135, elapsed_time:4.201154708862305 seconds
fileName:045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717, AUC:0.86, R_AUC:0.84, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.04, R_AP:0.04, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:29172, fn_count:361, fp_count:398, tp_count:0, elapsed_time:4.18817663192749 seconds
fileName:046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477, AUC:0.95, R_AUC:0.94, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.02, R_AP:0.04, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:29512, fn_count:73, fp_count:346, tp_count:0, elapsed_time:4.7984044551849365 seconds
fileName:047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077, AUC:0.98, R_AUC:0.96, Precision:0.04, Recall:0.25, F:0.07, ExistenceReward:1.00, OverlapReward:0.25, AP:0.05, R_AP:0.06, Precisionk:0.25, R_precision:0.14, R_recall:0.40, R_f:0.21, tn_count:29460, fn_count:55, fp_count:398, tp_count:18, elapsed_time:3.9117329120635986 seconds
fileName:048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085, AUC:1.00, R_AUC:1.0, Precision:0.73, Recall:0.92, F:0.81, ExistenceReward:1.00, OverlapReward:0.92, AP:0.89, R_AP:0.94, Precisionk:0.92, R_precision:0.73, R_recall:0.93, R_f:0.82, tn_count:11203, fn_count:8, fp_count:33, tp_count:90, elapsed_time:2.411841869354248 seconds
