-------> THIS IS THE LOF METHOD REPORT <----------

fileName:047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077, AUC:1.00, R_AUC:1.0, Precision:0.10, Recall:1.00, F:0.19, ExistenceReward:1.00, OverlapReward:1.00, AP:0.94, R_AP:0.96, Precisionk:1.00, R_precision:0.01, R_recall:1.00, R_f:0.02, tn_count:29229, fn_count:0, fp_count:629, tp_count:73, elapsed_time:2.4947075843811035 seconds
fileName:048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085, AUC:0.67, R_AUC:0.9, Precision:0.16, Recall:0.48, F:0.24, ExistenceReward:1.00, OverlapReward:0.24, AP:0.32, R_AP:0.6, Precisionk:0.48, R_precision:0.14, R_recall:0.39, R_f:0.20, tn_count:10995, fn_count:51, fp_count:241, tp_count:47, elapsed_time:0.4519917964935303 seconds
fileName:049_UCR_Anomaly_DISTORTEDTkeepFirstMARS_3500_5365_5380, AUC:0.95, R_AUC:0.85, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.02, R_AP:0.02, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:11152, fn_count:16, fp_count:238, tp_count:0, elapsed_time:0.4477393627166748 seconds
fileName:050_UCR_Anomaly_DISTORTEDTkeepForthMARS_3500_5988_6085, AUC:0.92, R_AUC:0.9, Precision:0.07, Recall:0.20, F:0.10, ExistenceReward:1.00, OverlapReward:0.20, AP:0.06, R_AP:0.06, Precisionk:0.20, R_precision:0.12, R_recall:0.36, R_f:0.19, tn_count:10944, fn_count:78, fp_count:266, tp_count:20, elapsed_time:0.4222450256347656 seconds
fileName:051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340, AUC:1.00, R_AUC:1.0, Precision:0.09, Recall:1.00, F:0.17, ExistenceReward:1.00, OverlapReward:1.00, AP:0.11, R_AP:0.85, Precisionk:1.00, R_precision:0.04, R_recall:1.00, R_f:0.07, tn_count:11272, fn_count:0, fp_count:105, tp_count:11, elapsed_time:0.444960355758667 seconds
fileName:052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809, AUC:1.00, R_AUC:1.0, Precision:0.53, Recall:0.99, F:0.69, ExistenceReward:1.00, OverlapReward:0.49, AP:0.62, R_AP:0.96, Precisionk:0.99, R_precision:0.53, R_recall:0.60, R_f:0.56, tn_count:11123, fn_count:1, fp_count:86, tp_count:98, elapsed_time:0.475848913192749 seconds
fileName:053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995, AUC:0.38, R_AUC:0.5, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.03, R_AP:0.04, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:6262, fn_count:232, fp_count:190, tp_count:0, elapsed_time:0.27165722846984863 seconds
fileName:054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979, AUC:0.25, R_AUC:0.65, Precision:0.00, Recall:0.00, F:0.00, ExistenceReward:0.00, OverlapReward:0.00, AP:0.01, R_AP:0.12, Precisionk:0.00, R_precision:0.00, R_recall:0.00, R_f:0.00, tn_count:6422, fn_count:60, fp_count:202, tp_count:0, elapsed_time:0.2757573127746582 seconds
fileName:055_UCR_Anomaly_DISTORTEDapneaecg2_10000_20950_21100, AUC:0.89, R_AUC:0.96, Precision:0.44, Recall:0.61, F:0.51, ExistenceReward:1.00, OverlapReward:0.10, AP:0.63, R_AP:0.52, Precisionk:0.61, R_precision:0.17, R_recall:0.28, R_f:0.21, tn_count:38233, fn_count:59, fp_count:117, tp_count:92, elapsed_time:2.0732369422912598 seconds
fileName:056_UCR_Anomaly_DISTORTEDapneaecg3_5000_11111_11211, AUC:1.00, R_AUC:1.0, Precision:0.38, Recall:0.99, F:0.55, ExistenceReward:1.00, OverlapReward:0.99, AP:0.94, R_AP:0.81, Precisionk:0.99, R_precision:0.03, R_recall:0.99, R_f:0.05, tn_count:38117, fn_count:1, fp_count:161, tp_count:100, elapsed_time:2.1314141750335693 seconds
