family,algorithm_display,algorithm_superfamily,algorithm_category,evaluation_mode,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_affiliation_precision,mean_affiliation_recall,mean_runtime_seconds
ECG,Local Outlier Factor | Metric manhattan,Distance-based,Proximity,range,15,0.5558269368672555,0.19835331259118186,0.06876276544883395,0.06876276544883395,0.5271358997965935,0.997990028396734,20.602569053329837
ECG,Local Outlier Factor | p = 1,Distance-based,Proximity,range,15,0.5558269368672555,0.19835331259118186,0.06876276544883395,0.06876276544883395,0.5271358997965935,0.997990028396734,20.320398899998207
ECG,PCA | Components 0.95,Density-based,Encoding,range,15,0.43837409382674164,0.10134791182271045,0.06474021730963479,0.06474021730963479,0.6255762486498194,0.9477556497536004,0.13090100000457214
ECG,PCA | Weighted off,Density-based,Encoding,range,15,0.438467042223663,0.10182658724815775,0.0635063903097589,0.0635063903097589,0.6257936609253447,0.9477551050977728,0.35498604666596895
ECG,PCA | Baseline,Density-based,Encoding,range,15,0.4381964697566744,0.10244298859502572,0.060931354374066715,0.060931354374066715,0.6259664815187725,0.9477551383203642,0.35448896666445456
ECG,PCA | Score comps 2,Density-based,Encoding,range,15,0.4381450236084457,0.10244298859502572,0.060931354374066715,0.060931354374066715,0.6262284158036657,0.9477551383203642,0.08204170000196119
ECG,PCA | Whiten on,Density-based,Encoding,range,15,0.4381964697566744,0.10244298859502572,0.060931354374066715,0.060931354374066715,0.6259664815187725,0.9477551383203642,0.3659413466618086
ECG,PCA | Standardize off,Density-based,Encoding,range,15,0.438571511521367,0.102637247869364,0.06017536516223972,0.06017536516223972,0.6263073999988684,0.9477554447064844,0.31743052000723154
ECG,HBOS | Baseline,Density-based,Distribution,range,15,0.4965144225124458,0.06625657672449296,0.057672397592777216,0.057672397592777216,0.5496326319627236,0.9124445109789073,1.5916278000028494
ECG,HBOS | Tol 0.2,Density-based,Distribution,range,15,0.4965144225124458,0.06625657672449296,0.057672397592777216,0.057672397592777216,0.5496326319627236,0.9124445109789073,1.5688743066702349
ECG,HBOS | Bins 20,Density-based,Distribution,range,15,0.5270286467393744,0.04995665599039773,0.05118441230117658,0.05118441230117658,0.5365017477657267,0.9211371052214559,1.5769744799938052
ECG,HBOS | Alpha 0.05,Density-based,Distribution,range,15,0.49909897839098427,0.06977366867731605,0.050430743252746255,0.050430743252746255,0.5580239609967392,0.9130990964778533,1.5971350066751862
ECG,Isolation Forest | Trees 400,Density-based,Tree,range,15,0.3867146671087735,0.03012681578576248,0.040779481497862716,0.040779481497862716,0.5684430226143186,0.9576375655924297,1.8244106266725189
ECG,Isolation Forest | Max feat 0.6,Density-based,Tree,range,15,0.3737749505058707,0.03716751470026273,0.03839643098795646,0.03839643098795646,0.5625589342618291,0.977475236925504,7.892517526665082
ECG,Isolation Forest | Baseline,Density-based,Tree,range,15,0.35275151244002917,0.03001980014214414,0.036133301688546074,0.036133301688546074,0.5785408388532792,0.9727719614179068,0.91602470666791
