regime_dimension,regime_value,algorithm_display,dataset_count,mean_roc_auc,mean_f1,mean_evaluation_f1,mean_range_f1,mean_runtime_seconds
length_bucket,long,OCSVM | Train frac 0.20,87,0.7136056418589454,0.2552770157376707,0.10356200605306194,0.10356200605306194,2.7626233804551483
length_bucket,long,Matrix Profile | Subseq x4,87,0.9138359979363808,0.1709516718433961,0.10030281409734071,0.10030281409734071,1.1846326126411943
length_bucket,long,OCSVM | Baseline,87,0.7162340141386022,0.2494224547739602,0.09546222826687147,0.09546222826687147,1.4367307195411165
length_bucket,long,SAND | Batch 1000,87,0.8760880384340513,0.14624915501587826,0.09316934555877875,0.09316934555877875,41.59370253563373
length_bucket,long,OCSVM | Nu 0.10,87,0.724569695144209,0.2346028554250004,0.08930189111960962,0.08930189111960962,2.4011659241383816
length_bucket,long,Local Outlier Factor | Baseline,88,0.7863295479203064,0.2339985913512738,0.07479688403920294,0.07479688403920294,3.0032308022756213
length_bucket,long,Local Outlier Factor | Leaf size 60,88,0.786306728754013,0.2339985913512738,0.07479688403920294,0.07479688403920294,3.054687702277244
length_bucket,long,Local Outlier Factor | Search brute,88,0.7863243119354429,0.23399847911768967,0.07479666500540716,0.07479666500540716,3.057510621590733
length_bucket,long,Local Outlier Factor | Neighbors 10,88,0.699212647940086,0.18565631812901764,0.07074171248746086,0.07074171248746086,2.9554331965912506
length_bucket,long,DAMP | Start x2,87,0.7744512953765296,0.09470781272425313,0.06812017253902311,0.06812017253902311,30.702653348271937
length_bucket,long,DAMP | x_lag x8,87,0.7509316787964941,0.062464376466596104,0.05743144939022283,0.05743144939022283,25.34447628850132
length_bucket,long,PCA | Components 0.95,87,0.4806540545467361,0.11482148528969682,0.05630708762075332,0.05630708762075332,0.13726936666570577
length_bucket,long,PCA | Weighted off,87,0.48005454938486475,0.11424021559564855,0.055811633400475694,0.055811633400475694,0.42150387241392684
length_bucket,long,PCA | Baseline,87,0.48180877818524104,0.1150465446409551,0.05580811981276358,0.05580811981276358,0.42216215632225645
length_bucket,long,PCA | Whiten on,87,0.48180877818524104,0.1150465446409551,0.05580811981276358,0.05580811981276358,0.4196058494204805
length_bucket,long,PCA | Standardize off,87,0.4818930668046767,0.11508369821301807,0.055793117455922796,0.055793117455922796,0.37629905172547423
length_bucket,long,PCA | Score comps 2,87,0.481944315214017,0.11471499444802317,0.05510484835630614,0.05510484835630614,0.08650339195396393
length_bucket,long,DAMP | Baseline,87,0.7520844482164197,0.06398560089428425,0.054975480763806275,0.054975480763806275,26.188502794252067
length_bucket,long,Local Outlier Factor | Metric manhattan,88,0.757297519908776,0.17913725644608636,0.05495493677925578,0.05495493677925578,35.490195097723536
length_bucket,long,Local Outlier Factor | p = 1,88,0.757297519908776,0.17913725644608636,0.05495493677925578,0.05495493677925578,35.293182263634
length_bucket,long,HBOS | Baseline,87,0.5549984528664794,0.08165499495709656,0.05388467949546505,0.05388467949546505,1.6766076402306482
length_bucket,long,HBOS | Tol 0.2,87,0.5549984528664794,0.08165499495709656,0.05388467949546505,0.05388467949546505,1.6565205689680886
length_bucket,long,HBOS | Alpha 0.05,87,0.5571321762823888,0.08385205642962693,0.05253798008734378,0.05253798008734378,1.659804887360433
length_bucket,long,HBOS | Bins 20,87,0.5805288683522946,0.0808133970251942,0.04619530912728116,0.04619530912728116,1.6675086195370579
length_bucket,long,Isolation Forest | Trees 400,88,0.5364647244436669,0.07346596713281953,0.028791817638276995,0.028791817638276995,2.1657507772734705
length_bucket,long,Isolation Forest | Max feat 0.6,88,0.5379298632834904,0.07607397224964398,0.02789405611930219,0.02789405611930219,9.550804256815105
length_bucket,long,Isolation Forest | Seed 7,88,0.5359469559919341,0.07474075923893671,0.027310628105598967,0.027310628105598967,1.106703567046762
length_bucket,long,Isolation Forest | Bootstrap on,88,0.5325280474613433,0.07467621846754899,0.025376658803626096,0.025376658803626096,1.0034984477288988
length_bucket,long,Isolation Forest | Baseline,88,0.5336202454548444,0.07456051183636851,0.023255222793176822,0.023255222793176822,1.0911899034055585
length_bucket,long,Isolation Forest | Max samples auto,88,0.5336202454548444,0.07456051183636851,0.023255222793176822,0.023255222793176822,1.1018311659093094
length_bucket,long,OCSVM | Kernel linear,87,0.4357593941371313,0.040988459714141647,0.01955097489340263,0.01955097489340263,0.41804023678066615
length_bucket,medium,SAND | Subseq x2,84,0.9446855497288882,0.34297260896854637,0.3206527185090068,0.3206527185090068,2.387340486903018
length_bucket,medium,SAND | Init 3000,84,0.9469587852196556,0.3347644808054815,0.3187013600193533,0.3187013600193533,5.282248647618135
length_bucket,medium,SAND | Overlap 64,84,0.9464988685921654,0.3369470182719566,0.3166452723748424,0.3166452723748424,8.747132009524128
length_bucket,medium,SAND | k = 3,84,0.9421420146393368,0.3360170908321272,0.31376992560251316,0.31376992560251316,3.197787515475024
length_bucket,medium,SAND | Baseline,84,0.9456725246608458,0.3321719533845708,0.3104636267881547,0.3104636267881547,5.693518165477144
length_bucket,medium,SAND | Alpha 0.7,84,0.9419811730660602,0.3249274598027121,0.30801810586697737,0.30801810586697737,4.822074255952473
length_bucket,medium,Matrix Profile | Subseq x1,84,0.9533003580760813,0.3612924494633508,0.29180168060696293,0.29180168060696293,0.08161252619244065
length_bucket,medium,SAND | Batch 1000,84,0.934222351701594,0.2915736317944855,0.28567976160626407,0.28567976160626407,5.387857130950752
length_bucket,medium,Matrix Profile | Baseline,84,0.951042981903675,0.313814996049589,0.27596426351849124,0.27596426351849124,0.08862695952259288
length_bucket,medium,OCSVM | Gamma 0.1,84,0.7174639024510645,0.25876240871311973,0.23821345536150784,0.23821345536150784,0.12812992619139893
length_bucket,medium,OCSVM | Train frac 0.20,84,0.7417668082674657,0.22298287411279025,0.21005878689619586,0.21005878689619586,0.15039799047579952
length_bucket,medium,DAMP | x_lag x8,84,0.8688665476386598,0.24544968453381732,0.20826579053176508,0.20826579053176508,5.240617540476835
length_bucket,medium,OCSVM | Baseline,84,0.7510874714510167,0.22097768382200372,0.20457770343118412,0.20457770343118412,0.10093627857194012
length_bucket,medium,DAMP | Baseline,84,0.8702008534771435,0.24140637683072366,0.20440562661777986,0.20440562661777986,5.301625613094767
length_bucket,medium,DAMP | Start x2,84,0.8860348999642818,0.23714177949947202,0.202970356432348,0.202970356432348,5.803845030951336
length_bucket,medium,Matrix Profile | Subseq x4,84,0.915280060019662,0.24539147289472657,0.20156824286943273,0.20156824286943273,0.08558576190400687
length_bucket,medium,OCSVM | Nu 0.10,84,0.7503606575969104,0.21842500288652442,0.19637008547004303,0.19637008547004303,0.13605264524015914
length_bucket,medium,Local Outlier Factor | Baseline,84,0.8229060093980541,0.2209619749737573,0.1678440029381829,0.1678440029381829,0.1797335595245905
length_bucket,medium,Local Outlier Factor | Leaf size 60,84,0.8229060093980541,0.2209619749737573,0.1678440029381829,0.1678440029381829,0.1454622988073554
length_bucket,medium,Local Outlier Factor | Search brute,84,0.8229060093980541,0.2209619749737573,0.1678440029381829,0.1678440029381829,0.1468120904759243
length_bucket,medium,Isolation Forest | Trees 400,84,0.7453334473837049,0.18614477974026652,0.16589548776756655,0.16589548776756655,0.8525326202365077
length_bucket,medium,Isolation Forest | Seed 7,84,0.7582412931913961,0.18434926389620404,0.16425942266144208,0.16425942266144208,0.43853346428416745
length_bucket,medium,Isolation Forest | Max feat 0.6,84,0.7451677083138314,0.18522082992133096,0.16410690689823731,0.16410690689823731,1.2546583000006475
length_bucket,medium,Local Outlier Factor | Metric manhattan,84,0.8300706745743044,0.21328719959625184,0.16164021202746237,0.16164021202746237,1.5639947285720457
length_bucket,medium,Local Outlier Factor | p = 1,84,0.8300706745743044,0.21328719959625184,0.16164021202746237,0.16164021202746237,1.573355480951293
length_bucket,medium,Isolation Forest | Baseline,84,0.738887476139947,0.18319539822544106,0.1552914514181847,0.1552914514181847,0.4566384095239863
length_bucket,medium,Isolation Forest | Max samples auto,84,0.738887476139947,0.18319539822544106,0.1552914514181847,0.1552914514181847,0.43750846547689953
length_bucket,medium,Isolation Forest | Bootstrap on,84,0.7428462423160246,0.18471541047620865,0.15392717318956084,0.15392717318956084,0.4056409976197063
length_bucket,medium,Local Outlier Factor | Neighbors 10,84,0.7467856392674723,0.17707823627649105,0.11543151916875406,0.11543151916875406,0.14256599166678605
length_bucket,medium,PCA | Weighted off,84,0.5855631019228517,0.09485658593496529,0.11005018721720813,0.11005018721720813,0.10092258690461413
length_bucket,medium,PCA | Standardize off,84,0.5842158334021674,0.09486337271085066,0.10840184667107187,0.10840184667107187,0.0914949083359845
length_bucket,medium,PCA | Baseline,84,0.5852175656675151,0.09470323859194227,0.10835789510502251,0.10835789510502251,0.10320692142912383
length_bucket,medium,PCA | Whiten on,84,0.5852175656675151,0.09470323859194227,0.10835789510502251,0.10835789510502251,0.10140108452712104
length_bucket,medium,PCA | Score comps 2,84,0.58520077046852,0.09470861562983963,0.10807652577427956,0.10807652577427956,0.023428492856813386
